pop 75,pop 100,pop 125,pop 300,stack 40,stack 50,stack 60,stack 100,dif 0.1,dif 0.4,dif 0.7,dif 1.0,cross 0.4,cross 0.6,cross 0.8,cross 1.0,mut 0.4,mut 0.6,mut 0.8,mut 1.0
4.70E-04,4.77E-04,2.40E-04,2.55E-04,4.70E-04,4.77E-04,4.70E-04,2.55E-04,8.82E-05,2.05E-04,4.70E-04,3.57E-04,8.82E-05,2.05E-04,2.48E-04,1.91E-04,8.82E-05,2.05E-04,1.51E-04,9.58E-05
8.45E-04,5.00E-04,3.55E-04,4.70E-04,8.45E-04,5.00E-04,5.00E-04,4.70E-04,9.54E-05,3.97E-04,5.00E-04,5.98E-04,9.54E-05,3.97E-04,3.94E-04,2.10E-04,9.54E-05,3.97E-04,2.25E-04,2.25E-04
9.84E-04,8.99E-04,3.71E-04,9.38E-04,9.84E-04,8.99E-04,1.15E-03,9.38E-04,2.40E-04,5.00E-04,1.15E-03,7.22E-04,2.40E-04,5.00E-04,6.53E-04,3.87E-04,2.40E-04,5.00E-04,2.40E-04,4.72E-04
1.40E-03,9.38E-04,6.21E-04,9.38E-04,1.40E-03,9.38E-04,1.48E-03,9.38E-04,3.72E-04,6.56E-04,1.48E-03,1.27E-03,3.72E-04,6.56E-04,1.23E-03,6.52E-04,3.72E-04,6.56E-04,3.60E-04,4.73E-04
1.74E-04,1.03E-07,6.97E-07,3.55E-05,1.74E-04,1.03E-07,1.20E-04,3.55E-05,5.47E-05,2.03E-05,1.20E-04,5.08E-05,5.47E-05,2.03E-05,5.62E-05,1.15E-06,5.36E-05,8.39E-05,5.62E-05,1.15E-06
3.20E-04,4.25E-04,2.52E-04,3.16E-04,3.20E-04,4.25E-04,2.23E-04,3.16E-04,1.51E-04,9.58E-05,2.23E-04,1.51E-04,1.51E-04,9.58E-05,8.68E-05,2.23E-04,2.48E-04,1.91E-04,8.68E-05,2.23E-04
3.43E-04,4.49E-04,2.55E-04,3.30E-04,3.43E-04,4.49E-04,3.58E-04,3.30E-04,2.25E-04,2.25E-04,3.58E-04,2.56E-04,2.25E-04,2.25E-04,3.18E-04,2.40E-04,3.94E-04,2.10E-04,3.18E-04,2.40E-04
4.01E-04,5.37E-04,7.31E-04,4.76E-04,4.01E-04,5.37E-04,6.02E-04,4.76E-04,2.40E-04,4.72E-04,6.02E-04,4.71E-04,2.40E-04,4.72E-04,3.94E-04,2.94E-04,6.53E-04,3.87E-04,3.94E-04,2.94E-04
4.37E-04,1.42E-03,9.38E-04,1.07E-03,4.37E-04,1.42E-03,1.28E-03,1.07E-03,3.60E-04,4.73E-04,1.28E-03,8.41E-04,3.60E-04,4.73E-04,4.24E-04,4.77E-04,1.23E-03,6.52E-04,4.24E-04,4.77E-04
6.10E-06,2.24E-04,3.43E-04,6.38E-11,6.10E-06,2.24E-04,3.48E-04,6.38E-11,5.36E-05,8.39E-05,3.48E-04,6.13E-04,3.17E-04,8.51E-05,6.13E-04,3.48E-04,3.17E-04,8.51E-05,5.08E-05,1.20E-04
