pop 75,pop 100,pop 125,pop 300,stack 40,stack 50,stack 60,stack 100,dif 0.1,dif 0.4,dif 0.7,dif 1.0,cross 0.4,cross 0.6,cross 0.8,cross 1.0,mut 0.4,mut 0.6,mut 0.8,mut 1.0
,7.31E-04,,8.69E-04,,,,,4.67E-04,,,9.62E-04,1.29E-03,,9.62E-04,,1.29E-03,,4.52E-04,
,1.29E-03,,1.42E-03,,,,,1.02E-03,,,1.53E-03,1.42E-03,,1.53E-03,,1.42E-03,,1.29E-03,
,4.16E-08,,3.10E-04,,,,,6.91E-05,,,6.76E-06,2.29E-05,,6.76E-06,,7.20E-04,,6.76E-06,
,9.60E-05,,3.90E-04,,,,,1.38E-04,,,4.16E-05,2.82E-04,,4.16E-05,,8.42E-04,,4.16E-05,
,1.30E-04,,5.20E-04,,,,,1.41E-04,,,8.81E-04,3.72E-04,,8.81E-04,,9.38E-04,,8.81E-04,
,4.78E-04,,5.31E-04,,,,,2.28E-04,,,1.29E-03,4.52E-04,,1.29E-03,,9.62E-04,,1.29E-03,
,6.56E-04,,5.88E-04,,,,,2.31E-04,,,1.48E-03,1.29E-03,,1.48E-03,,1.53E-03,,1.48E-03,
,9.96E-07,,3.97E-04,,,,,1.12E-05,,,3.61E-04,1.12E-05,,8.07E-05,,1.12E-05,,1.57E-06,
,6.07E-05,,5.00E-04,,,,,1.94E-04,,,4.71E-04,1.94E-04,,1.28E-04,,1.94E-04,,3.09E-06,
,2.20E-04,,5.00E-04,,,,,2.02E-04,,,9.38E-04,2.02E-04,,2.36E-04,,2.02E-04,,3.65E-05,
,2.95E-04,,5.00E-04,,,,,2.53E-04,,,1.01E-03,2.53E-04,,3.18E-04,,2.53E-04,,1.78E-04,
,2.96E-04,,6.38E-04,,,,,4.10E-04,,,1.11E-03,4.10E-04,,4.98E-04,,4.10E-04,,2.17E-04,
,5.48E-05,,2.56E-04,,,,,1.57E-06,,,3.43E-04,1.57E-06,,3.55E-05,,8.07E-05,,3.55E-05,
,2.75E-04,,3.87E-04,,,,,3.09E-06,,,3.43E-04,3.09E-06,,2.22E-04,,1.28E-04,,2.22E-04,
,3.94E-04,,3.96E-04,,,,,3.65E-05,,,3.95E-04,3.65E-05,,2.94E-04,,2.36E-04,,2.94E-04,
,4.36E-04,,4.81E-04,,,,,1.78E-04,,,4.54E-04,1.78E-04,,3.94E-04,,3.18E-04,,3.94E-04,
,5.00E-04,,5.00E-04,,,,,2.17E-04,,,8.89E-04,2.17E-04,,4.26E-04,,4.98E-04,,4.26E-04,
,2.02E-04,,3.99E-04,,,,,8.07E-05,,,4.75E-04,3.61E-04,,4.75E-04,,3.61E-04,,3.43E-04,
,2.40E-04,,4.11E-04,,,,,1.28E-04,,,5.23E-04,4.71E-04,,5.23E-04,,4.71E-04,,3.43E-04,
,4.65E-04,,5.00E-04,,,,,2.36E-04,,,6.13E-04,9.38E-04,,6.13E-04,,9.38E-04,,3.95E-04,
,4.67E-04,,6.25E-04,,,,,3.18E-04,,,8.69E-04,1.01E-03,,8.69E-04,,1.01E-03,,4.54E-04,
,1.02E-03,,1.53E-03,,,,,4.98E-04,,,1.42E-03,1.11E-03,,1.42E-03,,1.11E-03,,8.89E-04,
,6.91E-05,,8.20E-05,,,,,3.55E-05,,,3.10E-04,3.43E-04,,3.10E-04,,4.75E-04,,3.10E-04,
,1.38E-04,,3.50E-04,,,,,2.22E-04,,,3.90E-04,3.43E-04,,3.90E-04,,5.23E-04,,3.90E-04,
,1.41E-04,,3.62E-04,,,,,2.94E-04,,,5.20E-04,3.95E-04,,5.20E-04,,6.13E-04,,5.20E-04,
,2.28E-04,,4.87E-04,,,,,3.94E-04,,,5.31E-04,4.54E-04,,5.31E-04,,8.69E-04,,5.31E-04,
,2.31E-04,,5.00E-04,,,,,4.26E-04,,,5.88E-04,8.89E-04,,5.88E-04,,1.42E-03,,5.88E-04,
,2.03E-04,,1.29E-03,,,,,3.97E-04,,,1.29E-03,3.97E-04,,3.99E-04,,3.97E-04,,2.56E-04,
,4.81E-04,,1.48E-03,,,,,5.00E-04,,,1.48E-03,5.00E-04,,4.11E-04,,5.00E-04,,3.87E-04,
,6.61E-04,,1.48E-03,,,,,5.00E-04,,,1.48E-03,5.00E-04,,5.00E-04,,5.00E-04,,3.96E-04,
,1.29E-03,,1.48E-03,,,,,5.00E-04,,,1.48E-03,5.00E-04,,6.25E-04,,5.00E-04,,4.81E-04,
,1.42E-03,,1.48E-03,,,,,6.38E-04,,,1.48E-03,6.38E-04,,1.53E-03,,6.38E-04,,5.00E-04,
,2.29E-05,,9.38E-04,,,,,2.56E-04,,,9.38E-04,2.56E-04,,8.20E-05,,3.99E-04,,8.20E-05,
,2.82E-04,,9.38E-04,,,,,3.87E-04,,,9.38E-04,3.87E-04,,3.50E-04,,4.11E-04,,3.50E-04,
,3.72E-04,,1.22E-03,,,,,3.96E-04,,,1.22E-03,3.96E-04,,3.62E-04,,5.00E-04,,3.62E-04,
,4.52E-04,,1.26E-03,,,,,4.81E-04,,,1.26E-03,4.81E-04,,4.87E-04,,6.25E-04,,4.87E-04,
,1.29E-03,,1.48E-03,,,,,5.00E-04,,,1.48E-03,5.00E-04,,5.00E-04,,1.53E-03,,5.00E-04,
,7.20E-04,,1.29E-03,,,,,3.99E-04,,,1.29E-03,1.29E-03,,1.29E-03,,1.29E-03,,9.38E-04,
,8.42E-04,,1.29E-03,,,,,4.11E-04,,,1.29E-03,1.48E-03,,1.29E-03,,1.48E-03,,9.38E-04,
,9.38E-04,,1.35E-03,,,,,5.00E-04,,,1.35E-03,1.48E-03,,1.35E-03,,1.48E-03,,1.22E-03,
,9.62E-04,,1.48E-03,,,,,6.25E-04,,,1.48E-03,1.48E-03,,1.48E-03,,1.48E-03,,1.26E-03,
,1.53E-03,,1.99E-03,,,,,1.53E-03,,,1.99E-03,1.48E-03,,1.99E-03,,1.48E-03,,1.48E-03,
,6.76E-06,,2.76E-04,,,,,8.20E-05,,,2.76E-04,9.38E-04,,2.76E-04,,1.29E-03,,2.76E-04,
,4.16E-05,,1.02E-03,,,,,3.50E-04,,,1.02E-03,9.38E-04,,1.02E-03,,1.29E-03,,1.02E-03,
,8.81E-04,,1.29E-03,,,,,3.62E-04,,,1.29E-03,1.22E-03,,1.29E-03,,1.35E-03,,1.29E-03,
,1.29E-03,,1.29E-03,,,,,4.87E-04,,,1.29E-03,1.26E-03,,1.29E-03,,1.48E-03,,1.29E-03,
,1.48E-03,,1.39E-03,,,,,5.00E-04,,,1.39E-03,1.48E-03,,1.39E-03,,1.99E-03,,1.39E-03,
